cell_id,group
addbldco-1,normal
addcglgo-1,tumor
adddcbne-1,tumor
adddffpb-1,tumor
addlebep-1,tumor
addmjllh-1,normal
adebfaka-1,tumor
adeepopp-1,normal
adekibbj-1,tumor
adepjhfh-1,normal
adfehfnj-1,tumor
adfepemf-1,normal
adfincfd-1,normal
adfkhcea-1,normal
adfonhck-1,normal
adfponbl-1,normal
adgalopc-1,tumor
adgbnbhm-1,tumor
adgcdmfh-1,tumor
adgclbil-1,tumor
adgdfone-1,tumor
adgfjefp-1,tumor
adgknfkj-1,tumor
adgompmo-1,normal
adhabgoa-1,normal
adhbddjc-1,normal
adhbkhjg-1,normal
adhcejlj-1,normal
adhclmkh-1,normal
adhgcilp-1,normal
adhgiaab-1,tumor
adhgjnbb-1,tumor
adhhficf-1,tumor
adhidamo-1,tumor
adhlhhjn-1,tumor
adhlidml-1,normal
adiabmpl-1,normal
adibbhdg-1,normal
adidpggp-1,tumor
adilhopb-1,tumor
adimalom-1,normal
adipdbip-1,tumor
adjafifi-1,tumor
adjbjoga-1,tumor
adjdaicj-1,tumor
adjffaca-1,normal
adjhjjje-1,normal
adjpfhco-1,tumor
adjpfmlg-1,tumor
adjplflg-1,tumor
adkdidaf-1,tumor
adkdjdho-1,tumor
adkeelbm-1,tumor
adkhkemk-1,tumor
adkjpdbc-1,normal
adkmobnk-1,normal
adkohepb-1,normal
adkpbpec-1,normal
adlakogk-1,normal
adlapgpb-1,tumor
adldilem-1,tumor
adlhhejf-1,tumor
admbhgoo-1,normal
admehdia-1,normal
admjhnof-1,normal
admlpngd-1,normal
admocjhl-1,normal
adnboegd-1,normal
adnffbbn-1,normal
adniajal-1,normal
adnlgjcj-1,normal
adnmdffk-1,normal
adnokmei-1,normal
adnpjoof-1,normal
adoenbff-1,normal
adoffpgb-1,normal
adofjmff-1,normal
adolbklb-1,normal
adpcanke-1,normal
adpcbjko-1,normal
adpclajl-1,normal
adpcpkfe-1,normal
adpepicp-1,tumor
adphfbbj-1,normal
adphnakd-1,tumor
adpjehol-1,normal
adpkgjgc-1,normal
aeaaelfp-1,normal
aeacddmd-1,normal
aeafmifi-1,normal
aeahaead-1,normal
aeanhmgd-1,normal
aeapgaoa-1,tumor
aebbflcd-1,normal
aebdkfej-1,normal
aebegcok-1,normal
aebeghol-1,normal
aebfgahi-1,normal
aebhikia-1,normal
aebiebii-1,normal
aebjadli-1,normal
aebkjhpo-1,normal
aebmpanm-1,normal
aeccaibp-1,normal
aecfhonm-1,tumor
aecgbfaa-1,tumor
aechmpeh-1,tumor
aeciaejb-1,tumor
aecjpcgm-1,normal
aecleahn-1,tumor
aedabgpb-1,tumor
aedadapc-1,tumor
aeddeiob-1,tumor
aedfhngl-1,tumor
aedonkli-1,tumor
aeeaehfn-1,tumor
aeebeobo-1,tumor
aeebldab-1,tumor
aeehnlba-1,tumor
aeejgkff-1,tumor
aeekbjlj-1,tumor
aeelmdde-1,tumor
aeemppdn-1,tumor
aeeneajb-1,tumor
aeeoboea-1,tumor
aeepaeeb-1,tumor
aefbckco-1,tumor
aefemddf-1,tumor
aefggfoc-1,tumor
aefjlnfh-1,tumor
aefmgpnm-1,tumor
aefmiegd-1,tumor
aefnkhcp-1,tumor
aefpikmb-1,tumor
aegabboi-1,tumor
aeganbpp-1,tumor
aegcfpnk-1,tumor
aegcionk-1,tumor
aeghamfl-1,tumor
aeghicdk-1,tumor
aegkbhmf-1,tumor
aegkiblf-1,tumor
aegmafnn-1,tumor
aehbkhgg-1,tumor
