,type_of_sampling,experiment,n_genes,n_counts,mean_countsxcell,nmi,ari,F1score_all,F1score_gain,F1score_loss,AUC_loss,PR_gains,AUC_loss,PR_loss,AUC_gains,n_subsample
56,subsampled,02,10000,,6503.655,0.9060454848286367,0.9415682407504405,0.841377009059765,0.8943933971035063,0.6524441541296164,0.7526047937625334,0.7479360376969757,0.7526047937625334,0.18687987538969703,0.9201119216078744,50
57,subsampled,02,1000,,707.4077,0.023316555072990377,0.002917582318232961,0.22889885706782231,0.14140355916183825,0.251852783567549,0.581337526818846,0.002750328902589491,0.581337526818846,0.008004879563031666,0.5273069105305487,50
58,subsampled,02,500,,337.21292,0.022095853390277673,0.028457709218819273,0.15907061106578163,0.22047940332823515,0.15268989723455298,0.5550603613214575,0.0004638481695685144,0.5550603613214575,0.007006099987121381,0.553069645703703,50
59,subsampled,02,all,,7509.6846,0.9795479374384178,0.990422722120461,0.8381312170129602,0.9269401492379109,0.5378006657025537,0.6907813821428975,0.827496191876155,0.6907813821428975,0.12545240613192787,0.9461922753244979,20
60,subsampled,02,5000,,298.62146,0.3539663585232925,0.44608021856862984,0.526540405568203,0.6604038616263376,0,0.5098340868253862,0.14604926629742987,0.5098340868253862,0.0036939780253644884,0.7406355027817867,5
61,subsampled,02,1000,,70.39826,0.005277909669027062,0.007336210285281677,0.06826261129925493,0.057394642870347415,0,0.5082838218039126,0.0024691999962366293,0.5082838218039126,0.005474541355012619,0.48732416435975656,5
62,subsampled,02,500,,33.502365,0.008470548507908007,0.011892128297755615,0.05778957042483176,0.3049220189947451,0,0.5148962878044833,0.0005602951408124093,0.5148962878044833,0.004962245141896729,0.5712139798729009,5
63,subsampled,02,all,,1126.4526,0.67802095497265,0.5677151210716027,0.6783233458450102,0.8356236519668786,0.006601263731414505,0.5136139177312282,0.5338297457546475,0.5136139177312282,0.0036994582318201617,0.8674627414854965,3
64,subsampled,02,20000,,832.7358,0.6310383708557438,0.5372506836951265,0.6714650764962928,0.8201156194851481,0.0005918702560499846,0.5172095704226216,0.46795580908233225,0.5172095704226216,0.0035473498959191383,0.855350738374115,3
65,subsampled,02,15000,,594.53625,0.5458648364792925,0.6062622993844385,0.6674374721435892,0.8071232707172976,0.0009360358526260125,0.5189962853595657,0.42714405021226454,0.5189962853595657,0.00357138335448302,0.8446875066067511,3
