,gene_names
902,SPRR1B
903,PRR9
904,PGLYRP4
905,S100A9
906,S100A12
907,S100A8
908,S100A6
909,S100A5
910,S100A4
911,S100A3
912,S100A2
913,S100A16
914,S100A14
915,S100A13
916,S100A1
917,CHTOP
918,SNAPIN
919,ILF2
920,NPR1
921,INTS3
922,SLC27A3
923,GATAD2B
924,DENND4B
925,CRTC2
926,SLC39A1
927,CREB3L4
928,JTB
929,RAB13
930,C1orf43
931,UBAP2L
932,HAX1
933,ATP8B2
934,IL6R
935,SHE
936,TDRD10
937,UBE2Q1
938,ADAR
939,KCNN3
940,PMVK
941,PBXIP1
942,PYGO2
943,SHC1
944,CKS1B
945,FLAD1
946,ZBTB7B
947,DCST2
948,ADAM15
949,EFNA4
950,EFNA3
951,EFNA1
952,SLC50A1
953,DPM3
954,KRTCAP2
955,TRIM46
956,MUC1
957,THBS3
958,MTX1
959,SCAMP3
960,CLK2
961,HCN3
962,PKLR
963,FDPS
964,RUSC1
965,ASH1L
966,MSTO1
967,YY1AP1
968,DAP3
969,GON4L
970,SYT11
971,RIT1
972,KHDC4
973,RXFP4
974,ARHGEF2
975,SSR2
976,UBQLN4
977,LAMTOR2
978,RAB25
979,MEX3A
980,LMNA
981,SEMA4A
982,SLC25A44
983,PMF1
984,BGLAP
985,PAQR6
986,SMG5
987,TMEM79
988,GLMP
989,CCT3
990,MEF2D
991,IQGAP3
992,NAXE
993,GPATCH4
994,NES
995,CRABP2
996,ISG20L2
997,HDGF
998,PRCC
999,SH2D2A
1000,NTRK1
1001,PEAR1
1002,ARHGEF11
1003,ETV3
1004,FCRL5
1005,FCRL4
1006,FCRL3
1007,FCRL2
1008,FCRL1
1009,KIRREL1
1010,CD1D
1011,CD1A
1012,CD1C
1013,CD1B
1014,CD1E
1015,MNDA
1016,PYHIN1
1017,IFI16
1018,AIM2
1019,CADM3
1020,ACKR1
1021,FCER1A
1022,DUSP23
1023,FCRL6
1024,SLAMF8
1025,VSIG8
1026,CFAP45
1027,TAGLN2
1028,IGSF9
1029,KCNJ10
1030,PIGM
1031,IGSF8
1032,ATP1A2
1033,CASQ1
1034,PEA15
1035,DCAF8
1036,PEX19
1037,COPA
1038,NCSTN
1039,VANGL2
1040,SLAMF6
1041,CD84
1042,SLAMF1
1043,CD48
1044,SLAMF7
1045,LY9
1046,CD244
1047,ITLN1
1048,ITLN2
1049,F11R
1050,TSTD1
1051,USF1
1052,ARHGAP30
1053,NECTIN4
1054,KLHDC9
1055,PFDN2
1056,NIT1
1057,DEDD
1058,UFC1
1059,USP21
1060,PPOX
1061,B4GALT3
1062,ADAMTS4
1063,NDUFS2
1064,FCER1G
1065,APOA2
1066,TOMM40L
1067,PCP4L1
1068,MPZ
1069,FCGR2A
1070,HSPA6
1071,FCGR3A
1072,FCGR3B
1073,FCGR2B
1074,FCRLA
1075,DUSP12
1076,ATF6
1077,OLFML2B
1078,NOS1AP
1079,C1orf226
1080,UHMK1
1081,UAP1
1082,DDR2
1083,RGS4
1084,RGS5
1085,NUF2
1086,PBX1
1087,RXRG
1088,MGST3
1089,ALDH9A1
1090,TMCO1
1091,UCK2
1092,FAM78B
1093,POGK
1094,TADA1
1095,ILDR2
1096,GPA33
1097,POU2F1
1098,CD247
1099,CREG1
1100,RCSD1
1101,MPZL1
1102,MPC2
1103,DCAF6
1104,GPR161
1105,TIPRL
1106,SFT2D2
1107,TBX19
1108,DPT
1109,ATP1B1
1110,NME7
1111,BLZF1
1112,SLC19A2
1113,F5
1114,SELP
1115,C1orf112
1116,SELL
1117,SELE
1118,METTL18
1119,SCYL3
1120,KIFAP3
1121,GORAB
1122,PRRX1
1123,FMO3
1124,FMO2
1125,FMO4
1126,PRRC2C
1127,MYOC
1128,VAMP4
1129,DNM3
1130,PIGC
1131,SUCO
1132,FASLG
1133,TNFSF18
1134,TNFSF4
1135,PRDX6
1136,ANKRD45
1137,KLHL20
1138,CENPL
1139,DARS2
1140,ZBTB37
1141,RC3H1
1142,RABGAP1L
1143,KIAA0040
1144,COP1
1145,PAPPA2
1146,SEC16B
1147,RASAL2
1148,RALGPS2
1149,ANGPTL1
1150,FAM20B
