gene,group
CLIC3,Plasmacytoid Dendritic Cell
CSF2RA,Plasmacytoid Dendritic Cell,CD141+ Myeloid Dendritic Cell,Mature Conventional Dendritic Cell
CUX2,Plasmacytoid Dendritic Cell
CXCR3,Plasmacytoid Dendritic Cell
CYP46A1,Plasmacytoid Dendritic Cell
DNASE1L3,Plasmacytoid Dendritic Cell,CD141+ Myeloid Dendritic Cell
EPHA2,Plasmacytoid Dendritic Cell
FAAH,Plasmacytoid Dendritic Cell
FCER1A,Plasmacytoid Dendritic Cell,Mast Cell
FLT3,Plasmacytoid Dendritic Cell,CD141+ Myeloid Dendritic Cell,Mature Conventional Dendritic Cell
FUT7,Plasmacytoid Dendritic Cell
GPATCH11,Plasmacytoid Dendritic Cell
GPR55,Plasmacytoid Dendritic Cell
GUCY2D,Plasmacytoid Dendritic Cell
IRF7,Plasmacytoid Dendritic Cell
LTK,Plasmacytoid Dendritic Cell
MAP1A,Plasmacytoid Dendritic Cell
MED12L,Plasmacytoid Dendritic Cell
MMP11,Plasmacytoid Dendritic Cell
MTCL1,Plasmacytoid Dendritic Cell
MYBL2,Plasmacytoid Dendritic Cell
MYCL,Plasmacytoid Dendritic Cell,CD141+ Myeloid Dendritic Cell
NECTIN1,Plasmacytoid Dendritic Cell
NLRP7,Plasmacytoid Dendritic Cell
NPC1,Plasmacytoid Dendritic Cell
NR5A1,Plasmacytoid Dendritic Cell
P2RY1,Plasmacytoid Dendritic Cell
P2RY6,Plasmacytoid Dendritic Cell,CD141+ Myeloid Dendritic Cell
PHEX,Plasmacytoid Dendritic Cell
PROC,Plasmacytoid Dendritic Cell
PTK7,Plasmacytoid Dendritic Cell
RASD1,Plasmacytoid Dendritic Cell
RET,Plasmacytoid Dendritic Cell,Mast Cell
RIMS3,Plasmacytoid Dendritic Cell
RUNX2,Plasmacytoid Dendritic Cell
SEMA3C,Plasmacytoid Dendritic Cell
SIGLEC6,Plasmacytoid Dendritic Cell,Mast Cell
SIRPB1,Plasmacytoid Dendritic Cell
SLC7A11,Plasmacytoid Dendritic Cell,Mature Conventional Dendritic Cell
SLC7A5,Plasmacytoid Dendritic Cell
SMPD3,Plasmacytoid Dendritic Cell
ST14,Plasmacytoid Dendritic Cell
TLR7,Plasmacytoid Dendritic Cell
TLR9,Plasmacytoid Dendritic Cell
TRAF4,Plasmacytoid Dendritic Cell
TRPM2,Plasmacytoid Dendritic Cell
ZDHHC17,Plasmacytoid Dendritic Cell
ZFAT,Plasmacytoid Dendritic Cell
CD247,T Cell
CD3E,T Cell
CD3G,T Cell
CD5,T Cell
FLT3LG,T Cell
FOXP3,T Cell
IL17A,T Cell
ACPP,CD141+ Myeloid Dendritic Cell
ALOX15,CD141+ Myeloid Dendritic Cell
ANPEP,CD141+ Myeloid Dendritic Cell
BATF3,CD141+ Myeloid Dendritic Cell,Mature Conventional Dendritic Cell
CCL22,CD141+ Myeloid Dendritic Cell,Mature Conventional Dendritic Cell
CCND1,CD141+ Myeloid Dendritic Cell
